Timestamp,SecurityId,Best_Bid_Price,Best_Bid_Qty,Best_Ask_Price,Best_Ask_Qty
2026-08-11T08:38:49.016062,3045,1070.1,873.0,1070.4,9.0
2026-08-11T08:38:49.016315,3456,347.85,1.0,347.9,603.0
2026-08-11T08:38:49.016557,1922,391.2,135.0,391.25,4682.0
2026-08-11T08:38:49.016824,11483,4042.0,844.0,4042.2,2.0
2026-08-11T08:38:49.017081,11915,22.66,84855.0,22.67,11631.0
2026-08-11T08:38:50.018951,1333,728.95,753.0,729.0,3663.0
2026-08-11T08:38:50.019088,2885,1324.0,800.0,1324.4,319.0
2026-08-11T08:38:50.019292,11536,2440.4,169.0,2440.5,27.0
2026-08-11T08:38:50.019461,1594,1188.8,10.0,1189.1,650.0
2026-08-11T08:38:50.019745,4963,1421.2,707.0,1421.5,307.0
2026-08-11T08:38:50.020061,3045,1070.1,730.0,1070.2,5.0
2026-08-11T08:38:50.020379,3456,347.85,1.0,347.9,540.0
2026-08-11T08:38:50.020613,1922,391.2,136.0,391.25,4687.0
2026-08-11T08:38:50.020858,11483,4042.0,818.0,4042.2,2.0
2026-08-11T08:38:50.021091,11915,22.66,84855.0,22.67,11624.0
2026-08-11T08:38:51.021985,1333,728.95,751.0,729.0,2646.0
2026-08-11T08:38:51.022368,2885,1324.0,800.0,1324.4,220.0
2026-08-11T08:38:51.022720,11536,2440.2,78.0,2440.4,15.0
2026-08-11T08:38:51.023001,1594,1188.8,13.0,1189.1,632.0
2026-08-11T08:38:51.023232,4963,1421.2,207.0,1421.5,248.0
2026-08-11T08:38:51.023441,3045,1070.1,1.0,1070.2,3.0
2026-08-11T08:38:51.023639,3456,347.7,1047.0,347.85,168.0
2026-08-11T08:38:51.023833,1922,391.3,1786.0,391.35,222.0
2026-08-11T08:38:51.024031,11483,4042.0,789.0,4042.2,6.0
2026-08-11T08:38:51.024228,11915,22.66,84855.0,22.67,11624.0
2026-08-11T08:38:52.026102,1333,728.95,1149.0,729.0,2675.0
2026-08-11T08:38:52.026393,2885,1324.0,783.0,1324.2,50.0
2026-08-11T08:38:52.026617,11536,2440.2,50.0,2440.4,23.0
2026-08-11T08:38:52.026844,1594,1188.8,458.0,1189.1,800.0
2026-08-11T08:38:52.027044,4963,1421.2,115.0,1421.5,241.0
2026-08-11T08:38:52.027422,3045,1070.3,34.0,1070.4,652.0
2026-08-11T08:38:52.027818,3456,347.7,1047.0,347.85,168.0
2026-08-11T08:38:52.028067,1922,391.3,1866.0,391.35,222.0
2026-08-11T08:38:52.028224,11483,4042.0,731.0,4042.2,4.0
2026-08-11T08:38:52.028409,11915,22.66,84855.0,22.67,11624.0
2026-08-11T08:38:53.030022,1333,728.95,1149.0,729.0,1138.0
2026-08-11T08:38:53.030262,2885,1324.1,1.0,1324.2,50.0
2026-08-11T08:38:53.030456,11536,2440.2,51.0,2440.4,23.0
2026-08-11T08:38:53.030639,1594,1188.8,1729.0,1189.1,53.0
2026-08-11T08:38:53.030864,4963,1421.3,2.0,1421.5,396.0
2026-08-11T08:38:53.031095,3045,1070.3,34.0,1070.4,220.0
2026-08-11T08:38:53.031299,3456,347.75,41.0,347.85,40.0
2026-08-11T08:38:53.031526,1922,391.3,1869.0,391.35,185.0
2026-08-11T08:38:53.031862,11483,4042.0,730.0,4042.2,4.0
2026-08-11T08:38:53.032242,11915,22.66,83370.0,22.67,11624.0
2026-08-11T08:38:54.034186,1333,728.95,2396.0,729.0,1722.0
2026-08-11T08:38:54.034794,2885,1324.1,456.0,1324.3,24.0
2026-08-11T08:38:54.035171,11536,2440.2,63.0,2440.4,32.0
2026-08-11T08:38:54.035487,1594,1188.8,1729.0,1189.1,33.0
2026-08-11T08:38:54.035825,4963,1421.3,517.0,1421.5,11.0
2026-08-11T08:38:54.036096,3045,1070.3,28.0,1070.4,221.0
2026-08-11T08:38:54.036422,3456,347.75,41.0,347.85,38.0
2026-08-11T08:38:54.036757,1922,391.3,3060.0,391.4,1703.0
2026-08-11T08:38:54.036975,11483,4042.0,729.0,4043.3,14.0
2026-08-11T08:38:54.037193,11915,22.66,79469.0,22.67,11624.0
2026-08-11T08:38:55.039070,1333,728.95,2440.0,729.0,1505.0
2026-08-11T08:38:55.039254,2885,1324.0,751.0,1324.3,26.0
2026-08-11T08:38:55.039561,11536,2440.2,63.0,2440.4,72.0
2026-08-11T08:38:55.039924,1594,1188.8,1729.0,1189.1,792.0
2026-08-11T08:38:55.040283,4963,1421.3,517.0,1421.5,11.0
2026-08-11T08:38:55.040609,3045,1070.3,20.0,1070.4,214.0
2026-08-11T08:38:55.041021,3456,347.75,41.0,347.85,37.0
2026-08-11T08:38:55.041751,1922,391.35,127.0,391.4,1701.0
2026-08-11T08:38:55.042100,11483,4042.0,729.0,4043.3,14.0
2026-08-11T08:38:55.042360,11915,22.66,80631.0,22.67,11624.0
2026-08-11T08:38:56.044265,1333,728.95,2390.0,729.0,1190.0
2026-08-11T08:38:56.044448,2885,1324.0,750.0,1324.3,18.0
2026-08-11T08:38:56.044634,11536,2440.2,63.0,2440.4,71.0
2026-08-11T08:38:56.044797,1594,1188.8,1679.0,1189.1,837.0
2026-08-11T08:38:56.044957,4963,1421.3,711.0,1421.5,11.0
2026-08-11T08:38:56.045127,3045,1070.0,35.0,1070.2,8.0
2026-08-11T08:38:56.045349,3456,347.75,41.0,347.85,28.0
2026-08-11T08:38:56.045688,1922,391.35,603.0,391.4,1640.0
2026-08-11T08:38:56.045975,11483,4042.0,729.0,4043.3,14.0
2026-08-11T08:38:56.046171,11915,22.66,80631.0,22.67,11624.0
2026-08-11T08:38:57.047906,1333,728.95,2386.0,729.0,1368.0
2026-08-11T08:38:57.048116,2885,1324.0,750.0,1324.3,18.0
2026-08-11T08:38:57.048274,11536,2440.3,1.0,2440.4,70.0
2026-08-11T08:38:57.048417,1594,1188.9,1.0,1189.1,695.0
2026-08-11T08:38:57.048558,4963,1421.3,621.0,1421.5,207.0
2026-08-11T08:38:57.048702,3045,1070.0,91.0,1070.3,10.0
2026-08-11T08:38:57.048955,3456,347.75,41.0,347.85,28.0
2026-08-11T08:38:57.049247,1922,391.35,683.0,391.4,3629.0
2026-08-11T08:38:57.049796,11915,22.66,82305.0,22.67,9348.0
2026-08-11T08:38:58.051638,1333,728.95,2187.0,729.0,1604.0
2026-08-11T08:38:58.051893,2885,1324.0,758.0,1324.3,382.0
2026-08-11T08:38:58.052098,11536,2440.3,4.0,2440.4,56.0
2026-08-11T08:38:58.052336,1594,1188.8,1992.0,1189.1,1064.0
2026-08-11T08:38:58.052641,4963,1421.3,628.0,1421.5,76.0
2026-08-11T08:38:58.052908,3045,1070.0,229.0,1070.3,867.0
2026-08-11T08:38:58.053073,3456,347.7,783.0,347.85,495.0
2026-08-11T08:38:58.053313,1922,391.35,1643.0,391.45,360.0
2026-08-11T08:38:58.053586,11483,4042.0,732.0,4043.2,4.0
2026-08-11T08:38:58.053814,11915,22.66,84733.0,22.67,9348.0
2026-08-11T08:38:59.055315,1333,728.95,2313.0,729.0,1301.0
2026-08-11T08:38:59.055511,2885,1324.0,737.0,1324.2,132.0
2026-08-11T08:38:59.055778,11536,2440.3,32.0,2440.4,56.0
2026-08-11T08:38:59.055936,1594,1188.8,2232.0,1189.1,858.0
2026-08-11T08:38:59.056081,4963,1421.3,621.0,1421.5,176.0
2026-08-11T08:38:59.056221,3045,1070.0,222.0,1070.2,127.0
2026-08-11T08:38:59.056450,3456,347.7,783.0,347.85,495.0
2026-08-11T08:38:59.056673,1922,391.35,1636.0,391.45,423.0
2026-08-11T08:38:59.056876,11483,4042.0,732.0,4043.2,4.0
2026-08-11T08:38:59.057017,11915,22.66,81708.0,22.67,9348.0
2026-08-11T08:39:00.058783,1333,728.95,2196.0,729.0,1825.0
2026-08-11T08:39:00.059025,2885,1324.0,735.0,1324.1,98.0
2026-08-11T08:39:00.059258,11536,2440.3,32.0,2440.4,56.0
2026-08-11T08:39:00.059572,1594,1188.8,1435.0,1189.1,1184.0
2026-08-11T08:39:00.059861,4963,1421.3,611.0,1421.5,167.0
2026-08-11T08:39:00.060110,3045,1070.1,1.0,1070.3,1.0
2026-08-11T08:39:00.060352,3456,347.7,775.0,347.85,587.0
2026-08-11T08:39:00.060597,1922,391.4,1.0,391.45,365.0
